,precision,recall,f1-score,support
abbreviation,1.0,0.037037037037037035,0.07142857142857142,27.0
acronym,0.3333333333333333,0.5,0.4,2.0
anatomy,0.4864864864864865,0.5294117647058824,0.5070422535211269,34.0
bacteria_virus,0.9473684210526315,0.782608695652174,0.8571428571428571,46.0
injury_or_poisoning,0.0,0.0,0.0,11.0
none,0.15555555555555556,0.6481481481481481,0.25089605734767023,54.0
organical_chemical,0.8823529411764706,0.2727272727272727,0.41666666666666663,55.0
pathology,0.7878787878787878,0.34210526315789475,0.47706422018348627,76.0
pharmacologic_substance,0.0,0.0,0.0,9.0
physiologic_function,0.5384615384615384,0.22950819672131148,0.3218390804597701,61.0
reference_object,0.0,0.0,0.0,6.0
symptom,0.0,0.0,0.0,2.0
accuracy,0.381201044386423,0.381201044386423,0.381201044386423,0.381201044386423
macro avg,0.4276197553287336,0.27846219817914336,0.27517330889584574,383.0
weighted avg,0.6199491072200414,0.381201044386423,0.3962159213636892,383.0
