,precision,recall,f1-score,support
anatomy,0.47058823529411764,0.23529411764705882,0.3137254901960785,34.0
bacteria_virus,1.0,0.15217391304347827,0.2641509433962264,46.0
injury_or_poisoning,0.5,0.36363636363636365,0.4210526315789474,11.0
none,0.14885496183206107,0.6290322580645161,0.24074074074074073,62.0
organical_chemical,0.4444444444444444,0.14545454545454545,0.2191780821917808,55.0
pathology,0.9285714285714286,0.17105263157894737,0.28888888888888886,76.0
pharmacologic_substance,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
physiologic_function,0.0,0.0,0.0,61.0
symptom,0.1,0.5,0.16666666666666669,2.0
accuracy,0.2303370786516854,0.2303370786516854,0.2303370786516854,0.2303370786516854
macro avg,0.41503513477768833,0.2687628946274591,0.23203516523751,356.0
weighted avg,0.48660279476172774,0.2303370786516854,0.21989892060934998,356.0
