,precision,recall,f1-score,support
abbreviation,0.5,0.2222222222222222,0.3076923076923077,27.0
acronym,0.0,0.0,0.0,2.0
anatomy,0.4,0.23529411764705882,0.2962962962962963,34.0
bacteria_virus,0.9166666666666666,0.2391304347826087,0.3793103448275862,46.0
injury_or_poisoning,1.0,0.2727272727272727,0.42857142857142855,11.0
none,0.14814814814814814,0.7407407407407407,0.24691358024691357,54.0
organical_chemical,0.8,0.14545454545454545,0.24615384615384617,55.0
pathology,1.0,0.27631578947368424,0.4329896907216495,76.0
pharmacologic_substance,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
physiologic_function,0.8666666666666667,0.21311475409836064,0.34210526315789475,61.0
reference_object,0.17647058823529413,0.5,0.2608695652173913,6.0
symptom,0.0,0.0,0.0,2.0
accuracy,0.3002610966057441,0.3002610966057441,0.3002610966057441,0.3002610966057441
macro avg,0.5395515613652869,0.25560184161405963,0.27285297135155395,383.0
weighted avg,0.7002406184405877,0.3002610966057441,0.32834720044046267,383.0
