Document,Annotateur,Texte,Début,Fin,Layer,CUI,Type,Confiance,Relation,Source,Cible
common_27449845.txt,AU90360,Zirconia,21.0,39.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AU90360,Abutments,21.0,39.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AU90360,zirconia,124.0,142.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AU90360,abutments,124.0,142.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AV45040,Zirconia,21.0,29.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27449845.txt,AV45040,single-tooth,165.0,177.0,Medical,A1.2,anatomy,high,,,
common_27706165.txt,AU90360,Mycobacterium,109.0,129.0,Medical,C0026922,bacteria_virus,high,,,
common_27706165.txt,AU90360,leprae,109.0,129.0,Medical,C0026922,bacteria_virus,high,,,
common_27706165.txt,AU90360,leprosy,375.0,382.0,Medical,C0023343,pathology,high,,,
common_27706165.txt,AU90360,rpoB,586.0,590.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,folP1,592.0,597.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,gyrA,599.0,603.0,Medical,C5212633,anatomy,high,,,
common_27706165.txt,AU90360,gyrB,609.0,613.0,Medical,C3656150,anatomy,high,,,
common_27706165.txt,AU90360,rifampicin,641.0,651.0,Medical,C0035608,organical_chemical,high,,,
common_27706165.txt,AU90360,dapsone,653.0,660.0,Medical,C0010980,organical_chemical,high,,,
common_27706165.txt,AU90360,ofloxacin,665.0,674.0,Medical,C0028902,organical_chemical,,,,
common_27706165.txt,AU90360,rpoB,753.0,762.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,gene,753.0,762.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,Ser456Leu,775.0,784.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,folP1,814.0,824.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,gene,814.0,824.0,Medical,C3534385,anatomy,high,,,
